,facility_address,facility_name,facility_city,grade,score,serial_number,points,violation_description,violation_status,time,activity_date,year
665025,10409 E WHITTIER BLVD,CARL'S JR,WHITTIER,A,93,DAN5M5MTU,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201709,2017-09-20,2017
554322,6900 W MANCHESTER AVE,WESTCHESTER GOLF COURSE S BA,LOS ANGELES,A,94,DATX3KIZL,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201711,2017-11-30,2017
27779,1250 W GLENOAKS BLVD,SIPAN BAKERY,GLENDALE,A,91,DAQV2ORVN,1.0,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE,201707,2017-07-14,2017
479831,40245 E 170TH ST E,LAKE LA DAIRY,PALMDALE,A,93,DA09XX6EK,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201609,2016-09-15,2016
552265,21717 DEVONSHIRE ST,COUNTRY SQUIRE MINI MARKET,CHATSWORTH,A,97,DAQU86NLV,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201704,2017-04-11,2017
182381,1251 3RD ST,LOTERIA GRILL SANTA MONICA,SANTA MONICA,A,93,DAYSHYWDA,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201612,2016-12-02,2016
553384,120 E 8TH ST LOBBY,Q SNACK SHOP,LOS ANGELES,A,97,DACJWR2I0,1.0,# 32. Food properly labeled & honestly presented,OUT OF COMPLIANCE,201509,2015-09-24,2015
724964,8820 W PICO BLVD,PICO KOSHER DELI TAKE-OUT,LOS ANGELES,A,98,DADXIDMRF,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201711,2017-11-06,2017
468253,3828 N PECK RD,NORTHGATE MARKET #20,EL MONTE,A,95,DAHJWXWMM,2.0,# 21b. Water available,OUT OF COMPLIANCE,201601,2016-01-26,2016
816935,1708 1/2 S CATALINA AVE,CREME DE LA CREPE,REDONDO BEACH,A,91,DANGQQSOU,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201701,2017-01-24,2017
665557,2319 SAN FERNANDO BLVD,PATRA'S DRIVE-IN,LOS ANGELES,A,91,DADYX6A8F,1.0,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE,201606,2016-06-21,2016
431224,13418 E IMPERIAL HWY,JR MINI MARKET,SANTA FE SPRINGS,A,94,DAJMHQSIZ,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201508,2015-08-05,2015
799768,7621 STATE ST,CENTRAL MEAT MARKET,HUNTINGTON PARK,A,96,DAG6PSXTO,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201703,2017-03-21,2017
828828,921 W FOOTHILL BLVD,CASA JIMENEZ MEXICAN RESTAUR,CLAREMONT,A,94,DAPBGXETA,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201611,2016-11-07,2016
391038,3077 W 8th ST,JJIGAE HOUSE,LOS ANGELES,A,93,DA1VI0GB9,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201711,2017-11-01,2017
672933,15015 ROSCOE BLVD,WINCHELL'S DONUT,PANORAMA CITY,A,92,DAQBGD6UC,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201511,2015-11-03,2015
438260,380 WORLD WAY T31,800 DEGREES PIZZERIA,LOS ANGELES,A,91,DA12IODO8,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201701,2017-01-04,2017
478813,13240 IMPERIAL HWY,SIMPLY POKE,SANTA FE SPRINGS,A,94,DAVLL00XZ,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201604,2016-04-06,2016
223035,3961 S WESTERN AVE,MR ANGELOS PIZZA,LOS ANGELES,A,97,DAXEBLU4J,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201609,2016-09-30,2016
475919,248 N NORTH AVENUE 50,MONTEMAR MARKET,LOS ANGELES,A,97,DA4CGQ466,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201604,2016-04-07,2016
131494,2222 COLORADO BLVD,WALGREENS #06854,LOS ANGELES,A,96,DAKU730EA,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201703,2017-03-01,2017
420579,1517 LINCOLN BLVD,BAY CITIES ITALIAN MARKET,SANTA MONICA,A,97,DAVVB0UQP,2.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201607,2016-07-13,2016
527378,625 N MEDNIK AVE,SUPER SALUD LIQUOR & MARKET,LOS ANGELES,B,82,DAPQBOR1Q,2.0,# 22. Sewage and wastewater properly disposed,OUT OF COMPLIANCE,201709,2017-09-07,2017
406172,2705 E CARSON ST,ALEA CAFE,CARSON,A,91,DAMEDUL0S,1.0,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE,201704,2017-04-19,2017
628975,206 AVENUE I,BLAINE'S NUTRITION,REDONDO BEACH,A,99,DAT8CNW0K,1.0,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE,201612,2016-12-09,2016
500524,7947 FLORENCE AVE,TACOS EL GAVILAN,DOWNEY,A,95,DALBB0SDF,1.0,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE,201609,2016-09-15,2016
437205,4364 W 3RD ST,SELECTA SUPERMARKET,LOS ANGELES,B,85,DAORJDKZW,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201605,2016-05-27,2016
507632,1601 N HACIENDA BLVD,BURGER KING #4878,LA PUENTE,A,95,DAJKL0OUX,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201511,2015-11-17,2015
103878,8873 SUNSET BLVD,GABY'S EXPRESS,WEST HOLLYWOOD,A,93,DALJ8DKE8,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201602,2016-02-02,2016
428677,138 E GARVEY AVE STE #C,GUI LIN CUISINE,MONTEREY PARK,A,93,DAWSX33QP,1.0,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE,201706,2017-06-20,2017
334306,6367 ATLANTIC AVE,CONPHONG BAKERY,BELL,A,91,DAKGUAIEB,1.0,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE,201509,2015-09-16,2015
46104,1520 E PALMDALE BLVD,PALMDALE CAR WASH,PALMDALE,A,96,DAMOYJPST,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201606,2016-06-01,2016
194257,8281 SANTA MONICA BLVD,SAMMY THAI,WEST HOLLYWOOD,A,91,DAAJJJS3Z,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201507,2015-07-29,2015
855759,13201 INGLEWOOD AVE,S.K. LIQUOR,HAWTHORNE,A,91,DAZJFC1FK,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201712,2017-12-22,2017
745655,1815 HAWTHORNE BLVD STE 309,HOT DOG ON A STICK,REDONDO BEACH,A,91,DATMOEEGL,1.0,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE,201703,2017-03-21,2017
10900,4301 W PICO BLVD,CAPITOL BURGERS,LOS ANGELES,A,91,DA63REFGP,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201512,2015-12-03,2015
447322,39519 W 10TH ST W,BURGER KING #16563,PALMDALE,A,97,DA3TDHKEQ,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201605,2016-05-31,2016
611570,4555 E WHITTIER BLVD,BLVD. CAFE,LOS ANGELES,A,93,DA28SPQWN,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201612,2016-12-09,2016
60456,841 W LAS TUNAS DR,FINE GARDEN RESTAURANT,SAN GABRIEL,A,93,DATBLIZOZ,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201712,2017-12-06,2017
143933,3915 W OLYMPIC BLVD,OLYMPIC SPA,LOS ANGELES,A,91,DAHQX01N7,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201704,2017-04-03,2017
775190,6260 WILMINGTON AVE # L-11,RANCHITO JR # 1,HUNTINGTON PARK,A,94,DANISKOKJ,1.0,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE,201512,2015-12-01,2015
619171,230 S GAFFEY ST,SCHEFFLES LIQUOR STORE,SAN PEDRO,A,91,DAZMF64TY,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201709,2017-09-14,2017
221537,10951 ROSECRANS BLVD,BUY LOW MARKET,NORWALK,A,97,DAB0Y4ZUD,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201703,2017-03-07,2017
220419,930 S ROBERTSON BLVD #A,SUSHI 101,LOS ANGELES,B,83,DAV00B6S8,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201605,2016-05-04,2016
772658,5831 FRANKLIN AVE,TANG'S DONUTS,LOS ANGELES,A,91,DAWFOTHFG,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201509,2015-09-10,2015
463418,100 UNIVERSAL CITY PLZ,UNIVERSAL STUDIOS HOLLYWOOD,UNIVERSAL CITY,A,94,DAGFXQDTI,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201508,2015-08-05,2015
390283,10612 NATIONAL BLVD,COFFEE BEAN & TEA LEAF,LOS ANGELES,A,95,DAYASZ0LA,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201710,2017-10-19,2017
470796,888 E DOMINGUEZ ST E,CARSON BUFFET,CARSON,B,83,DACCIATDH,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201705,2017-05-22,2017
526838,1112 NAGOYA WAY,ALASKA SEAFOOD AND SUSHI,SAN PEDRO,B,84,DAVI0S73V,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201606,2016-06-21,2016
526568,22323 SHERMAN WAY # 18,SZECHWAN CHINESE,CANOGA PARK,B,84,DADJSXA2E,4.0,# 05. Hands clean and properly washed; gloves used properly,OUT OF COMPLIANCE,201610,2016-10-25,2016
692754,1119 W PACIFIC COAST HWY,DOLLAR TREE #5299,WILMINGTON,A,97,DA2D3XB3I,1.0,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE,201508,2015-08-19,2015
340680,11732 ARTESIA BLVD,FOOD KING RESTAURANT,ARTESIA,A,96,DA9XG2DFI,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201605,2016-05-19,2016
888868,9408 E SLAUSON AVE,MAGIC BAKERY,PICO RIVERA,A,95,DAHZTHNWD,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201606,2016-06-02,2016
417974,10628 S SAN PEDRO ST,HP ICE CREAM & SNACK SHOP,LOS ANGELES,B,88,DAXF0AYLP,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201601,2016-01-08,2016
628847,9400 SLAUSON AVE,CARL'S JR. #379,PICO RIVERA,A,97,DAH1SP9JL,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201712,2017-12-28,2017
522766,345 N LA BREA AVE # #101-,WIRTSHAUS,LOS ANGELES,A,93,DAKVA6JYB,1.0,# 38. Thermometers provided and accurate,OUT OF COMPLIANCE,201507,2015-07-10,2015
87668,5416 S NORWALK BLVD STE B3,PAMORE PIZZA,WHITTIER,B,85,DABR6YFBE,2.0,# 01b. Food safety certification,OUT OF COMPLIANCE,201512,2015-12-03,2015
640455,3550 W CARSON ST STE 404,MUSCLE BAR TORRANCE,TORRANCE,A,90,DAWYRGK35,4.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201710,2017-10-13,2017
267680,12730 SHERMAN WAY,VILLALTA TACOS MEXICO,NORTH HOLLYWOOD,A,92,DAAFQP1WP,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201710,2017-10-17,2017
723353,6131 E TELEGRAPH RD,CROWNE PLAZA BANQUET KITCHEN,COMMERCE,A,97,DA2PTKIUK,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201602,2016-02-09,2016
34041,600 S SEPULVEDA BLVD,EL TORITO RESTAURANT,MANHATTAN BEACH,A,91,DAYM6UCQI,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201707,2017-07-07,2017
25483,2705 E CARSON ST,ALEA CAFE,CARSON,B,86,DAGWAESUF,4.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201511,2015-11-19,2015
102000,619 W CARSON ST,KFC - E#791010,CARSON,A,92,DAVSKADZP,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201509,2015-09-16,2015
328310,162 W GARVEY AVE,HONG KONG CAFE,MONTEREY PARK,A,90,DAFYC3XHC,4.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201604,2016-04-13,2016
72628,1801 W 7TH ST,LAS DELICIAS BAKERY,LOS ANGELES,A,90,DADKZRNKV,2.0,# 01a. Demonstration of knowledge,OUT OF COMPLIANCE,201508,2015-08-19,2015
433202,465 LA CIENEGA BLVD,SLS HOTEL AT BEVERLY HILLS,LOS ANGELES,A,90,DAVOVTAIM,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201704,2017-04-07,2017
874701,16320 RAYMER ST,094TH AERO SQUADRON-VAN NUYS,VAN NUYS,A,92,DAEYNC5XO,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201707,2017-07-12,2017
55584,16325 VENTURA BLVD,KIKKA @ RALPHS # 219,ENCINO,A,98,DAKNV0RXY,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201507,2015-07-22,2015
672222,5511 N FIGUEROA ST,CHEZ-ANTOINE,LOS ANGELES,A,90,DA6GZPH0K,2.0,# 01b. Food safety certification,OUT OF COMPLIANCE,201509,2015-09-01,2015
382336,1300 S SAN PEDRO ST STE 220,ACA GRILL,LOS ANGELES,B,85,DAGEEVJ2P,4.0,# 21b. Water available,OUT OF COMPLIANCE,201611,2016-11-03,2016
392495,184 W FOOTHILL BLVD # D,WINGSTOP #295,MONROVIA,A,94,DADIMQNB6,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201704,2017-04-21,2017
619959,4959 SANTA MONICA BLVD,DESANO PIZZA BAKERY,LOS ANGELES,A,92,DAWZTDVQQ,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201608,2016-08-16,2016
227417,5930 FRANKLIN AVE,RENAISSANCE RESTAURANT,LOS ANGELES,A,92,DAEM7WMZ0,4.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201609,2016-09-01,2016
13373,1865 LINCOLN BLVD STE #1,7-ELEVEN 39022A,SANTA MONICA,A,96,DAA22VY1J,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201604,2016-04-27,2016
681902,514 SANTA MONICA BLVD,RFD INC REAL FOOD DAILY,SANTA MONICA,A,95,DAIX0GCQ7,4.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201512,2015-12-07,2015
220479,6011 N FIGUEROA ST,CAROLINA'S MAR Y SOL,LOS ANGELES,A,90,DASS0IJUB,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201703,2017-03-29,2017
390135,9040 SLAUSON AVE,MARISCOS LAS SIRENAS,PICO RIVERA,B,85,DAZYLX1PM,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201608,2016-08-11,2016
601089,1077 BROXTON AVE,CHIPOTLE MEXICAN GRILL #1084,LOS ANGELES,A,94,DAYORADJE,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201707,2017-07-20,2017
544164,8920 WILSHIRE BLVD STE 100,ALEX'S DELI & COFFEE HOUSE,BEVERLY HILLS,A,92,DAR65U1QT,1.0,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE,201609,2016-09-12,2016
577782,1709 N WILLOWBROOK AVE,ALATORRE MARKET-DELI/MEAT,COMPTON,A,91,DAIWJMPJY,4.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201512,2015-12-14,2015
771684,849 E HUNTINGTON DR,TOMMY'S WORLD FAMOUS HAMBURG,MONROVIA,A,97,DAYFJY26X,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201511,2015-11-10,2015
307198,4941 E FLORENCE AVE,SIZZLER FAMILY STEAK HOUSE #139,BELL,A,92,DA1DZ1JJH,1.0,# 27. Food separated and protected,OUT OF COMPLIANCE,201704,2017-04-18,2017
303439,1289 E VALLEY BLVD,LEE'S SANDWICHES,ALHAMBRA,B,83,DAS86CNJH,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201509,2015-09-29,2015
306593,4525 TORRANCE BLVD,KENTUCKY FRIED CHICKEN,TORRANCE,A,97,DAYSQ0SOX,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201605,2016-05-02,2016
2401,3120 W IMPERIAL HWY,CVS/PHARMACY #9578,INGLEWOOD,A,96,DAMUZUD0Y,1.0,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE,201608,2016-08-15,2016
823621,5429 HOLLYWOOD BLVD,RALPHS MARKET #206,LOS ANGELES,A,97,DA629MMSB,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201608,2016-08-17,2016
695710,3460 W 8TH ST,MAPO GALMAEGI BBQ,LOS ANGELES,A,90,DAIQJAROM,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201512,2015-12-17,2015
773466,114 W CHANNEL RD,IL RISTORANTE DI GIORGIO BAL,SANTA MONICA,A,91,DA70YLXNW,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201708,2017-08-03,2017
879350,9715 LONG BEACH BLVD STE D,LA CARNICERIA,SOUTH GATE,A,91,DA4Y0VYW4,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201704,2017-04-25,2017
28781,9452 ARTESIA BLVD,TACOS Y MARISCOS LA FUENTE,BELLFLOWER,A,94,DA5WSNYB4,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201701,2017-01-20,2017
381832,1610 W REDON BH BLVD STE,AKANE CHAYA,GARDENA,B,83,DATGRUBIV,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201601,2016-01-19,2016
301742,6120 ATLANTIC BLVD,THE CANDY STORE,MAYWOOD,A,91,DAHXDTWGJ,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201602,2016-02-11,2016
875148,7825 BEVERLY BLVD STE #4,SUBWAY,LOS ANGELES,A,93,DASF6ECUS,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201602,2016-02-25,2016
361168,21515 S WESTERN AVE # 169,GO SQUARED,TORRANCE,A,96,DAQCQ4Z6K,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201605,2016-05-12,2016
141063,11938 SAN VICENTE BLVD,EARLY WORLD,LOS ANGELES,A,93,DASCZFWP8,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201710,2017-10-30,2017
732000,2291 N LINCOLN AVE,NUEVO PONCITLAN MEAT MKT INC,ALTADENA,A,90,DAANMHR9U,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201608,2016-08-31,2016
794035,2118 HILLHURST AVE,CAFE LOS FELIZ INC,LOS ANGELES,A,96,DAXSG0PMQ,2.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201605,2016-05-03,2016
75393,4433 S ALAMEDA ST STE B33,VILLA MORELIANA,LOS ANGELES,A,92,DAPVNIPSV,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201705,2017-05-04,2017
193896,1000 TORRANCE BLVD # A,ORLANDO'S,REDONDO BEACH,A,93,DAARTMSNE,2.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201711,2017-11-15,2017
743234,9500 WILSHIRE BLVD,REG BEV WILSHIRE,BEVERLY HILLS,A,90,DAMQ9LO7G,1.0,# 27. Food separated and protected,OUT OF COMPLIANCE,201704,2017-04-06,2017
188326,975 N AVIATION BLVD # 1,VALENTINOS PIZZA,MANHATTAN BEACH,A,92,DAY38S2V6,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201706,2017-06-01,2017
772809,1935 S DEL MAR AVE,SAN GABRIEL 76,SAN GABRIEL,A,98,DAWAVQUZ0,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201706,2017-06-08,2017
767013,8568 SEPULVEDA BLVD,LA JUNGLA,NORTH HILLS,A,93,DA7RGXMRF,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201612,2016-12-01,2016
310718,20700 AVALON BLVD,PANERA BREAD #4864,CARSON,A,90,DA7I2T3GY,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201608,2016-08-18,2016
357924,21950 S AVALON BLVD #I,SRIRACHA THAI RESTAURANT,CARSON,A,91,DATAANPLX,4.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201507,2015-07-14,2015
96514,15900 S PARAMOUNT BLVD,ARCO AM/PM MINI MARKET,PARAMOUNT,A,90,DA8TOFYLH,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201706,2017-06-07,2017
575225,23442 HAWTHORNE BLVD,OLIVE GARDEN #1018,TORRANCE,A,94,DAYR1XWWQ,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201611,2016-11-08,2016
802093,6254 WILSHIRE BLVD,CAFFE LATTE,LOS ANGELES,A,95,DAAK9FVPZ,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201710,2017-10-17,2017
605659,16106 SHERMAN WAY,BANGLA-PHILLY,VAN NUYS,A,94,DAVDQG5F5,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201710,2017-10-27,2017
598114,1511 N CAHUENGA BLVD,WAKU WAKU,LOS ANGELES,A,90,DANZJBX00,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201705,2017-05-08,2017
768043,3680 WILSHIRE BLVD STE 301,M & A AROMA,LOS ANGELES,B,82,DAPVQ7XA1,2.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201712,2017-12-06,2017
506931,730 S BROADWAY ST,TACOS ACAPUILCO,LOS ANGELES,A,93,DANXMYMHN,1.0,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE,201512,2015-12-29,2015
103591,7363 VAN NUYS BLVD,CALI VIEJO RESTAURANT,VAN NUYS,A,95,DAXWMQW0Y,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201511,2015-11-03,2015
486661,395 SANTA MONICA PL,SONOMA WINE GARDEN,SANTA MONICA,A,90,DAPTFLGEO,4.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201605,2016-05-24,2016
694481,12120 E TELEGRAPH RD,GEEZER'S,SANTA FE SPRINGS,A,95,DAOARUIFI,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201605,2016-05-17,2016
586674,21510 VICTORY BLVD,CHENNAI TIFFINS,WOODLAND HILLS,A,93,DAL8EE3Y0,1.0,# 27. Food separated and protected,OUT OF COMPLIANCE,201610,2016-10-25,2016
135316,2670 E GAGE AVE STE #2,LUCKY DONUTS,HUNTINGTON PARK,A,91,DAHPYFWSI,2.0,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE,201707,2017-07-26,2017
671672,625 W COLLEGE ST STE #109,JADE WOK CHINESE CUISINE,LOS ANGELES,A,90,DAED56I2Q,1.0,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE,201606,2016-06-24,2016
417597,5540 E WHITTIER BLVD,RASPADO XPRESS,COMMERCE,A,90,DAOGJ0LSE,4.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201510,2015-10-20,2015
897901,8755 PARTHENIA PL,GARNACHAS & BEER,NORTH HILLS,B,82,DADQ6L0G0,1.0,# 27. Food separated and protected,OUT OF COMPLIANCE,201608,2016-08-23,2016
198469,2345 HONOLULU AVE,JOSELITO'S,MONTROSE,A,96,DASVGRZHM,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201601,2016-01-25,2016
467776,15708 1/4 PIONEER BLVD,LA CORONA BAKERY,NORWALK,A,98,DAGQWTTXF,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201701,2017-01-24,2017
870417,417 BRAND BLVD,STARS PALACE CAFE,GLENDALE,A,90,DAE5DKTAK,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201610,2016-10-04,2016
251151,1388 WESTWOOD BLVD STE 103,ATTARI SANDWICHES,LOS ANGELES,A,92,DA098F275,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201603,2016-03-17,2016
383723,8807 SANTA MONICA BLVD,GEORGE'S GREEK GRILL,WEST HOLLYWOOD,A,90,DA0D2BQI8,2.0,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE,201705,2017-05-09,2017
604884,12035 SLAUSON AVE # #1,TUMMY STUFFER,SANTA FE SPRINGS,A,96,DA0LIMPTD,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201512,2015-12-02,2015
765777,5416 NORWALK BLVD # B-1,RAKU TERIYAKI HOUSE,WHITTIER,A,93,DALID2J8F,2.0,# 01b. Food safety certification,OUT OF COMPLIANCE,201603,2016-03-09,2016
899175,1111 PACIFIC COAST HWY STE 1,HANABI,HARBOR CITY,A,96,DAYSBHLOR,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201610,2016-10-11,2016
